1000,2435
1000,1051
10000,255343
10000,12691
1,9223372036854
1,9223372036854
1,9223372036854
100,9223372036854
100,232
100,253
100,155
1000,1936
1000,2004
1000,2144
10000,76793
10000,86854
10000,82249
10000,78508
10000,74011
10,19895
10,2090
10,2008
10,2027
1000,1955
10000,19792
10000,20257
10000,246857
10000,262868
10000,127862
10000,140201
100,195
1,35365
1,34309
1,33374
1,58258
1,8
1,8
1,7
1,8
1,4
1,11176
1,8073
1,8123
1,9
1,5
1,6
1,6
1,7
1,9
1,5
1,7
1,10
1,8
1,7
1,10
1,7
1,8
1,8
1,6
1,8
1,5
1,8
1,6
1,8
1,6
1,9
1,8
1,9
1,6
1,7
1,6
1,7
1,5
1,6
1,7
1,6
1,8
1,6
1,7
1,7
1,5
1,6
1,3
1,2
1,7
1,2
1,8
1,3
1000,2155
1000,748
1000,703
1000,753
10000,288911
10000,135405
10000,175745
10000,297150
1000,2191
1000,2259
1000,2136
1000,2180
10,26
100,175
20,47
20,14
20,12
20,50
20,50
20,50
100,191
100,202
100,238
100,178
100,60
100,186
100,198
100,233
100,183
50,101
50,101
70,158
70,121
100,180
100,211
100,201
100,200
100,181
100,200
100,204
100,195
100,204
100,208
100,208
1000,2597
10000,285862
1000,2072
1000,839
1000,735
1001,711
1001,728
1001,670
1000,2427
1000,722
5000,44978
5000,4927
5000,5125
5000,46052
5000,5382
5000,5254
5000,4527
5000,11360
5000,39663
5000,40866
5000,41241
1,9
1,5
1,13
1,2
5000,40259
5000,4249
5000,43542
2,11
2,10
2,4
2,10
2,9
2,4
2,4
